reranking_method,description,reranking_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
no_reranking,Base retrieval without reranking,6.147101402282715,0.813391495078194,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
cross_encoder,Cross-encoder reranking,16.842562437057495,0.29686694163584365,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
llm_reranking,LLM-based reranking,10.718271970748901,0.4664931076245719,1.0,0.8666666666666668,0.8,0.195,0.30333333333333334,1.0
hybrid_fusion,Fusion of vector and BM25 rankings,32.61528921127319,0.1533023352211083,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
cross_encoder_fusion,Fusion of vector and cross-encoder rankings,19.170187950134277,0.2608216472893255,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
multi_stage,Multi-stage reranking pipeline,20.874128818511963,0.23953095448782571,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
keyword_fusion,Keyword and semantic fusion,30.479976177215576,0.16404212296391507,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
