retrieval_method,retrieval_type,query_expansion,retrieval_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,alpha
vector,vector,none,4.343328237533569,1.151190913178446,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,
bm25,bm25,none,0.029742956161499023,168.10702920217074,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,
hybrid_0.3,hybrid,none,4.1949944496154785,1.1918966902228703,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.3
hybrid_0.5,hybrid,none,4.871831893920898,1.026307990273439,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
hybrid_0.7,hybrid,none,4.728798151016235,1.0573511155102873,1.0,0.9333333333333332,0.8800000000000001,0.22000000000000003,0.3416666666666666,1.0,0.7
vector_expanded,vector,simple,18.01034641265869,0.2776182026396625,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,
bm25_expanded,bm25,simple,0.07019186019897461,71.23333084244207,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,
hybrid_expanded,hybrid,simple,14.336198329925537,0.3487674964403182,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
