,retrieval_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,alpha
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0
mean,8.329644560813904,30.055226096608205,1.0,0.9583333333333333,0.905,0.23145833333333332,0.3552083333333333,1.0,0.5
std,7.406546354853586,62.63742083035816,0.0,0.06107502542086033,0.04750939756661677,0.019384118438016396,0.02707188402682576,0.0,0.1632993161855452
min,0.028412818908691406,0.24110734497130967,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,0.3
25%,3.9561325907707214,0.4596941193239672,1.0,0.9166666666666665,0.8700000000000001,0.21583333333333335,0.33541666666666664,1.0,0.45
50%,6.879057765007019,0.7339828656850376,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
75%,11.546910107135773,15.963355364500925,1.0,1.0,0.9299999999999999,0.24499999999999997,0.37083333333333324,1.0,0.55
max,20.737651109695435,175.97690732722452,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,0.7
