,embedding_dim,embedding_time_sec,docs_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,576.0,17.32230770587921,1.8035952812489522,1.0,1.0,1.0,0.75,1.0,1.0
std,221.70250336881628,30.656655785967324,1.5932354295685958,0.0,0.0,0.0,0.0,0.0,0.0
min,384.0,1.0193393230438232,0.0631959081038836,1.0,1.0,1.0,0.75,1.0,1.0
25%,384.0,2.012555778026581,1.156038448019301,1.0,1.0,1.0,0.75,1.0,1.0
50%,576.0,2.4873270988464355,1.6135374274216,1.0,1.0,1.0,0.75,1.0,1.0
75%,768.0,17.797079026699066,2.261094260651251,1.0,1.0,1.0,0.75,1.0,1.0
max,768.0,63.29523730278015,3.9241103620487254,1.0,1.0,1.0,0.75,1.0,1.0
