,retrieval_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,alpha
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0
mean,6.3231790363788605,30.54918655660973,1.0,0.9583333333333333,0.905,0.23145833333333332,0.3552083333333333,1.0,0.5
std,6.465324912371699,60.796210131257446,0.0,0.06107502542086033,0.04750939756661677,0.019384118438016396,0.02707188402682576,0.0,0.1632993161855452
min,0.029742956161499023,0.2776182026396625,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,0.3
25%,3.1637938022613525,0.856922866815159,1.0,0.9166666666666665,0.8700000000000001,0.21583333333333335,0.33541666666666664,1.0,0.45
50%,4.536063194274902,1.1042710143443666,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
75%,7.237923502922058,18.702255228277668,1.0,1.0,0.9299999999999999,0.24499999999999997,0.37083333333333324,1.0,0.55
max,18.01034641265869,168.10702920217074,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,0.7
