,reranking_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
mean,14.465399060930524,0.4013041405636306,0.9142857142857143,0.7047619047619047,0.64,0.165,0.24285714285714285,0.9285714285714286
std,6.410560710713957,0.16738891542706297,0.10690449676496973,0.30272134321882826,0.3282275633357646,0.06972166887783963,0.12159706641546317,0.09511897312113417
min,6.916088342666626,0.18243675949267013,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
25%,11.466004133224487,0.3264233968648028,0.8,0.5333333333333333,0.48000000000000004,0.12166666666666665,0.18416666666666667,0.8500000000000001
50%,13.36454701423645,0.37412416557581785,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
75%,15.319196224212646,0.4383846253085365,1.0,0.8999999999999999,0.8400000000000001,0.21166666666666667,0.31666666666666665,1.0
max,27.406757354736328,0.7229520145302478,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
