retrieval_method,retrieval_type,query_expansion,retrieval_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,alpha
vector,vector,none,7.389162302017212,0.6766666904359402,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,
bm25,bm25,none,0.07047891616821289,70.9432021920774,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,
hybrid_0.3,hybrid,none,7.8299853801727295,0.6385707963977961,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.3
hybrid_0.5,hybrid,none,6.636137962341309,0.7534502791192635,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
hybrid_0.7,hybrid,none,18.187883377075195,0.2749082945133802,1.0,0.9333333333333332,0.8800000000000001,0.22000000000000003,0.3416666666666666,1.0,0.7
vector_expanded,vector,simple,49.19050431251526,0.1016456340482746,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,
bm25_expanded,bm25,simple,0.22507977485656738,22.21434601659017,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,
hybrid_expanded,hybrid,simple,47.46747922897339,0.10533527546051108,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
