technique,description,processing_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
original,Original query without modification,7.1165077686309814,0.7025917995958095,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
simple_expansion,Expand with synonyms,34.03099322319031,0.14692489188334257,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
llm_expansion,Multiple queries from LLM,54.7937753200531,0.09125124105420292,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
hyde,Hypothetical Document Embeddings,12.403747320175171,0.4031039871206751,0.8,0.8666666666666666,0.8,0.2033333333333333,0.30333333333333334,0.9
enhanced_hyde,Enhanced Hypothetical Document Embeddings,8.204501390457153,0.6094215555640732,1.0,0.8666666666666666,0.8,0.2033333333333333,0.29999999999999993,1.0
