,reranking_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
mean,19.54964542388916,0.34206408632868346,0.9428571428571428,0.7142857142857142,0.64,0.16738095238095238,0.24285714285714285,0.9428571428571428
std,9.635274289561098,0.23241883336452818,0.0975900072948533,0.30723205300152906,0.3282275633357646,0.07053274221854504,0.12159706641546317,0.0975900072948533
min,6.147101402282715,0.1533023352211083,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
25%,13.780417203903198,0.20178653872587038,0.9,0.5666666666666667,0.48000000000000004,0.13,0.18416666666666667,0.9
50%,19.170187950134277,0.2608216472893255,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
75%,25.67705249786377,0.3816800246302078,1.0,0.9,0.8400000000000001,0.21166666666666667,0.31666666666666665,1.0
max,32.61528921127319,0.813391495078194,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
