,embedding_dim,embedding_time_sec,docs_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,576.0,6.0527623295784,4.616816642938399,1.0,1.0,1.0,0.75,1.0,1.0
std,221.70250336881628,10.650420552817945,3.6506525312808784,0.0,0.0,0.0,0.0,0.0,0.0
min,384.0,0.4386305809020996,0.18160848555021467,1.0,1.0,1.0,0.75,1.0,1.0
25%,384.0,0.7455629110336304,3.381914395611908,1.0,1.0,1.0,0.75,1.0,1.0
50%,576.0,0.873508095741272,4.583183439079406,1.0,1.0,1.0,0.75,1.0,1.0
75%,768.0,6.180707514286041,5.8180856864058965,1.0,1.0,1.0,0.75,1.0,1.0
max,768.0,22.025402545928955,9.11929120804457,1.0,1.0,1.0,0.75,1.0,1.0
