technique,description,processing_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
original,Original query without modification,21.019408464431763,0.23787539066386232,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
simple_expansion,Expand with synonyms,39.17781090736389,0.12762326133592616,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
llm_expansion,Multiple queries from LLM,45.29401636123657,0.11038985724125558,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
hyde,Hypothetical Document Embeddings,12.22824215888977,0.4088895145378738,0.8,0.8,0.8399999999999999,0.18666666666666668,0.3333333333333333,0.8666666666666668
enhanced_hyde,Enhanced Hypothetical Document Embeddings,11.213473081588745,0.445892183770382,0.8,0.8,0.8,0.17833333333333332,0.30333333333333334,0.9
