,processing_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,25.78659019470215,0.26613404150986,0.9199999999999999,0.8399999999999999,0.8320000000000001,0.19499999999999998,0.3173333333333333,0.9533333333333334
std,15.642850070560772,0.15566964483637047,0.1095445115010332,0.036514837167011004,0.01788854381999831,0.011785113019775785,0.010645812948447532,0.06497862896539304
min,11.213473081588745,0.11038985724125558,0.8,0.8,0.8,0.17833333333333332,0.30333333333333334,0.8666666666666668
25%,12.22824215888977,0.12762326133592616,0.8,0.8,0.8399999999999999,0.18666666666666668,0.31666666666666665,0.9
50%,21.019408464431763,0.23787539066386232,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
75%,39.17781090736389,0.4088895145378738,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
max,45.29401636123657,0.445892183770382,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.3333333333333333,1.0
