chunking_strategy,chunk_size,chunk_overlap,num_chunks,retrieval_method,embedding_time_sec,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,experiment,embedding_model,embedding_type,embedding_dim,docs_per_second,prompt_template,prompt_description,retrieval_config,retrieval_description,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness,technique,description,processing_time_sec,reranking_method,reranking_time_sec,retrieval_type,query_expansion,retrieval_time_sec,alpha,metric_precision,metric_recall
semantic,auto,auto,50.0,vector,1.28586745262146,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.0920341715022566,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
semantic,auto,auto,50.0,bm25,0.0,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
semantic,auto,auto,50.0,hybrid,1.28586745262146,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced semantic segmentation,auto,auto,51.0,vector,1.034508466720581,1.0,0.9333333333333332,0.8800000000000001,0.0578454108916293,0.0903484120921095,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced semantic segmentation,auto,auto,51.0,bm25,0.0,1.0,1.0,1.0,0.0623908654370839,0.1039847757284732,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced semantic segmentation,auto,auto,51.0,hybrid,1.034508466720581,1.0,1.0,0.96,0.0623908654370839,0.0994393211830186,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic-based chunking,auto,auto,50.0,vector,2.47395658493042,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.0920341715022566,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic-based chunking,auto,auto,50.0,bm25,0.0,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic-based chunking,auto,auto,50.0,hybrid,2.47395658493042,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliding window with coherence,auto,auto,50.0,vector,4.1317222118377686,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.0920341715022566,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliding window with coherence,auto,auto,50.0,bm25,0.0,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliding window with coherence,auto,auto,50.0,hybrid,4.1317222118377686,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,0,16.0,vector,1.896084308624268,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.3166666666666666,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,0,16.0,bm25,0.0,1.0,1.0,0.96,0.2449999999999999,0.3833333333333333,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,0,16.0,hybrid,1.896084308624268,1.0,1.0,0.92,0.2449999999999999,0.3666666666666666,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,16,18.0,vector,2.1487064361572266,1.0,0.9333333333333332,0.8400000000000001,0.2020361990950226,0.2880090497737556,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,16,18.0,bm25,0.0,1.0,0.9333333333333332,0.92,0.2020361990950226,0.3283936651583711,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,64,16,18.0,hybrid,2.1487064361572266,1.0,0.9333333333333332,0.8400000000000001,0.2020361990950226,0.2880090497737556,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,0,4.0,vector,11.533527374267578,1.0,1.0,1.0,0.75,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,0,4.0,bm25,0.0,1.0,1.0,1.0,0.75,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,0,4.0,hybrid,11.533527374267578,1.0,1.0,1.0,0.75,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,32,5.0,vector,1.318542718887329,1.0,0.9333333333333332,0.96,0.58,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,32,5.0,bm25,0.0,1.0,0.9333333333333332,0.96,0.58,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,128,32,5.0,hybrid,1.318542718887329,1.0,0.9333333333333332,0.96,0.58,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,0,2.0,vector,6.249527931213379,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,0,2.0,bm25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,0,2.0,hybrid,6.249527931213379,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,64,2.0,vector,1.4025490283966064,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,64,2.0,bm25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed,256,64,2.0,hybrid,1.4025490283966064,1.0,1.0,1.0,1.0,1.0,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
paragraph,auto,auto,75.0,vector,1.5087907314300537,1.0,0.8,0.76,0.0467205562121311,0.0725503790817448,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
paragraph,auto,auto,75.0,bm25,0.0,0.8,0.8666666666666666,0.8,0.0508722082448164,0.0764569330752145,0.9,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
paragraph,auto,auto,75.0,hybrid,1.5087907314300537,1.0,0.7999999999999999,0.76,0.0469506396173654,0.0727804624869792,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
semantic,auto,auto,50.0,vector,0.8593034744262695,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.0920341715022566,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
semantic,auto,auto,50.0,bm25,0.0,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
semantic,auto,auto,50.0,hybrid,0.8593034744262695,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced semantic segmentation,auto,auto,51.0,vector,0.9174177646636964,1.0,0.9333333333333332,0.8800000000000001,0.0578454108916293,0.0903484120921095,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced semantic segmentation,auto,auto,51.0,bm25,0.0,1.0,1.0,1.0,0.0623908654370839,0.1039847757284732,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced semantic segmentation,auto,auto,51.0,hybrid,0.9174177646636964,1.0,1.0,0.96,0.0623908654370839,0.0994393211830186,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic-based chunking,auto,auto,50.0,vector,0.8914096355438232,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.0920341715022566,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic-based chunking,auto,auto,50.0,bm25,0.0,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic-based chunking,auto,auto,50.0,hybrid,0.8914096355438232,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliding window with coherence,auto,auto,50.0,vector,4.295700550079346,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.0920341715022566,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliding window with coherence,auto,auto,50.0,bm25,0.0,1.0,1.0,1.0,0.0634023210831721,0.1056705351386202,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliding window with coherence,auto,auto,50.0,hybrid,4.295700550079346,1.0,1.0,0.96,0.0634023210831721,0.1011250805931656,1.0,chunking,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,22.427270650863647,1.0,1.0,1.0,0.75,1.0,1.0,embedding,all-MiniLM-L6-v2,sentence_transformer,384.0,0.1783542929619019,,,,,,,,,,,,,,,,,,,,,,
,,,,,14.360650062561035,1.0,1.0,1.0,0.75,1.0,1.0,embedding,all-mpnet-base-v2,sentence_transformer,768.0,0.2785389228603382,,,,,,,,,,,,,,,,,,,,,,
,,,,,27.08781385421753,1.0,1.0,1.0,0.75,1.0,1.0,embedding,multi-qa-mpnet-base-dot-v1,sentence_transformer,768.0,0.1476678783133769,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.823696136474609,1.0,1.0,1.0,0.75,1.0,1.0,embedding,BAAI/bge-small-en-v1.5,huggingface,384.0,0.8292396301155474,,,,,,,,,,,,,,,,,,,,,,
,,,,,63.29523730278015,1.0,1.0,1.0,0.75,1.0,1.0,embedding,all-MiniLM-L6-v2,sentence_transformer,384.0,0.0631959081038836,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.631026268005371,1.0,1.0,1.0,0.75,1.0,1.0,embedding,all-mpnet-base-v2,sentence_transformer,768.0,1.5203192946577735,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.3436279296875,1.0,1.0,1.0,0.75,1.0,1.0,embedding,multi-qa-mpnet-base-dot-v1,sentence_transformer,768.0,1.7067555601854263,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.0193393230438232,1.0,1.0,1.0,0.75,1.0,1.0,embedding,BAAI/bge-small-en-v1.5,huggingface,384.0,3.924110362048725,,,,,,,,,,,,,,,,,,,,,,
,,,,,22.025402545928955,1.0,1.0,1.0,0.75,1.0,1.0,embedding,all-MiniLM-L6-v2,sentence_transformer,384.0,0.1816084855502146,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.8991425037384033,1.0,1.0,1.0,0.75,1.0,1.0,embedding,all-mpnet-base-v2,sentence_transformer,768.0,4.448683032299139,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.8478736877441406,1.0,1.0,1.0,0.75,1.0,1.0,embedding,multi-qa-mpnet-base-dot-v1,sentence_transformer,768.0,4.717683845859672,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.4386305809020996,1.0,1.0,1.0,0.75,1.0,1.0,embedding,BAAI/bge-small-en-v1.5,huggingface,384.0,9.11929120804457,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,top_3,Top 3 documents,21.278074741363525,0.2349836656170892,0.1891688136866455,0.1891688136866455,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,top_5,Top 5 documents,22.681736707687374,0.2204416736001252,0.1769629899929878,0.1769629899929878,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,reranked_3,"Top 10, reranked, top 3 used",33.47233963012695,0.1493770694026934,0.2141439583616024,0.2141439583616024,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,instructional,Detailed instructions,top_3,Top 3 documents,11.633695363998411,0.4297860519429604,0.1891688136866455,0.1891688136866455,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,instructional,Detailed instructions,top_5,Top 5 documents,12.365436553955078,0.404352889457894,0.1769629899929878,0.1769629899929878,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,instructional,Detailed instructions,reranked_3,"Top 10, reranked, top 3 used",17.216820240020752,0.2904136728091884,0.2141439583616024,0.2141439583616024,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,extractive,Extract answer,top_3,Top 3 documents,28.815972089767456,0.1735148821085754,0.1891688136866455,0.1891688136866455,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,extractive,Extract answer,top_5,Top 5 documents,15.78207802772522,0.3168150601724457,0.1769629899929878,0.1769629899929878,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,extractive,Extract answer,reranked_3,"Top 10, reranked, top 3 used",28.43915963172913,0.175813915205201,0.2141439583616024,0.2141439583616024,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,citation,Request citations,top_3,Top 3 documents,16.829496383666992,0.2970974226449517,0.1891688136866455,0.1891688136866455,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,citation,Request citations,top_5,Top 5 documents,13.19130825996399,0.379037461748593,0.1769629899929878,0.1769629899929878,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,citation,Request citations,reranked_3,"Top 10, reranked, top 3 used",16.993642330169678,0.2942276824976624,0.2141439583616024,0.2141439583616024,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,top_3,Top 3 documents,10.094335317611694,0.4953273140507277,0.1779229360015186,0.1779229360015186,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,top_5,Top 5 documents,14.234867572784424,0.3512501942455353,0.1679064252695428,0.1679064252695428,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,reranked_3,"Top 10, reranked, top 3 used",27.13730263710022,0.1842482308158494,0.1860868023428415,0.1860868023428415,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,instructional,Detailed instructions,top_3,Top 3 documents,14.066320896148682,0.3554589744478946,0.1779229360015186,0.1779229360015186,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,instructional,Detailed instructions,top_5,Top 5 documents,15.124547004699709,0.330588413553565,0.1679064252695428,0.1679064252695428,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,instructional,Detailed instructions,reranked_3,"Top 10, reranked, top 3 used",16.036184310913086,0.3117948698430309,0.1860868023428415,0.1860868023428415,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,extractive,Extract answer,top_3,Top 3 documents,12.527841329574583,0.3991110574011227,0.1779229360015186,0.1779229360015186,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,extractive,Extract answer,top_5,Top 5 documents,10.109211206436155,0.4945984308663654,0.1679064252695428,0.1679064252695428,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,extractive,Extract answer,reranked_3,"Top 10, reranked, top 3 used",15.414486646652222,0.3243701924439968,0.1860868023428415,0.1860868023428415,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,citation,Request citations,top_3,Top 3 documents,16.166048049926758,0.3092901854898701,0.1779229360015186,0.1779229360015186,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,citation,Request citations,top_5,Top 5 documents,9.292263984680176,0.5380820011402304,0.1679064252695428,0.1679064252695428,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,citation,Request citations,reranked_3,"Top 10, reranked, top 3 used",14.51130437850952,0.3445589637968546,0.1860868023428415,0.1860868023428415,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,top_3,Top 3 documents,9.696139335632324,0.515669157272267,0.1779229360015186,0.1779229360015186,0.8199334075142886,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,top_5,Top 5 documents,7.30708122253418,0.6842677462761174,0.1679064252695428,0.1679064252695428,0.8241088133140495,0.0,0.68,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,basic,Basic prompt,reranked_3,"Top 10, reranked, top 3 used",11.16035795211792,0.4480143039723149,0.1860868023428415,0.1860868023428415,0.7914278243255287,0.0,0.7200000000000001,,,,,,,,,,,
,,,,,,,,,,,,generation,,,,,instructional,Detailed instructions,top_3,Top 3 documents,21.05682253837585,0.2374527301489837,0.1779229360015186,0.1779229360015186,0.8199334075142886,0.0,0.68,,,,,,,,,,,
