technique,description,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness,metric_precision,metric_recall,processing_time_sec,queries_per_second
enhanced_hyde,Enhanced Hypothetical Document Embeddings,0.8666666666666667,0.8444444444444444,0.84,0.1922222222222222,0.3205555555555555,0.9333333333333332,,,,,,,,13.73153551419576,0.4283058851009616
hyde,Hypothetical Document Embeddings,0.8666666666666667,0.8444444444444444,0.84,0.19777777777777775,0.3261111111111111,0.9222222222222222,,,,,,,,18.58431386947632,0.32421898885187866
llm_expansion,Multiple queries from LLM,1.0,0.8666666666666666,0.8400000000000002,0.20333333333333328,0.3166666666666666,1.0,,,,,,,,50.987183809280396,0.09873532139809864
original,Original query without modification,1.0,0.8666666666666666,0.8400000000000002,0.20333333333333328,0.3166666666666666,1.0,,,,,,,,13.550052007039389,0.4466706785154768
simple_expansion,Expand with synonyms,1.0,0.8666666666666666,0.8400000000000002,0.20333333333333328,0.3166666666666666,1.0,,,,,,,,38.28938595453898,0.1315230727217217
