,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,13.011514445145925,0.4340511725689425,0.177305387871301,0.177305387871301,0.8118233483846223,0.0,0.6933333333333334
std,4.710947365087991,0.15673512085647573,0.007765544031831554,0.007765544031831554,0.015167945977847003,0.0,0.019694638556693254
min,7.1444480419158936,0.23745273014898371,0.16790642526954286,0.16790642526954286,0.7914278243255287,0.0,0.68
25%,9.683318018913269,0.2836792555047019,0.16790642526954286,0.16790642526954286,0.7914278243255287,0.0,0.68
50%,11.369518756866455,0.43992123672237077,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
75%,17.631628215312958,0.5163546583218945,0.18608680234284156,0.18608680234284156,0.8241088133140495,0.0,0.7200000000000001
max,21.056822538375854,0.6998441266092787,0.18608680234284156,0.18608680234284156,0.8241088133140495,0.0,0.7200000000000001
