retrieval_method,retrieval_type,query_expansion,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness,metric_precision,metric_recall,retrieval_time_sec,queries_per_second,alpha
bm25,bm25,none,1.0,1.0,0.96,0.2449999999999999,0.3833333333333333,1.0,,,,,,,,0.04287823041280107,138.34237957382422,
bm25_expanded,bm25,simple,1.0,1.0,0.96,0.2449999999999999,0.3833333333333333,1.0,,,,,,,,0.12574855486551917,51.48086816547604,
hybrid_0.3,hybrid,none,1.0,1.0,0.92,0.2449999999999999,0.36666666666666653,1.0,,,,,,,,7.242352644602458,0.7819403320282184,0.3
hybrid_0.5,hybrid,none,1.0,1.0,0.92,0.2449999999999999,0.36666666666666653,1.0,,,,,,,,6.355154514312744,0.8137844215591089,0.5
hybrid_0.7,hybrid,none,1.0,0.9333333333333332,0.8800000000000002,0.22,0.3416666666666666,1.0,,,,,,,,9.38806676864624,0.7616968945198695,0.7
hybrid_expanded,hybrid,simple,1.0,1.0,0.92,0.2449999999999999,0.36666666666666653,1.0,,,,,,,,27.513776222864788,0.23173670562404625,0.5
vector,vector,none,1.0,0.8666666666666666,0.8400000000000002,0.20333333333333328,0.3166666666666666,1.0,,,,,,,,5.977704127629598,0.8780761132332792,
vector_expanded,vector,simple,1.0,0.8666666666666666,0.8400000000000002,0.20333333333333328,0.3166666666666666,1.0,,,,,,,,28.094085613886516,0.2239932618639464,
