reranking_method,description,reranking_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
no_reranking,Base retrieval without reranking,7.464304208755493,0.6698547996121448,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
cross_encoder,Cross-encoder reranking,16.313340663909912,0.3064976146217265,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
llm_reranking,LLM-based reranking,4.603441476821899,1.0861439262722798,1.0,0.9333333333333332,0.96,0.22000000000000003,0.3833333333333333,1.0
hybrid_fusion,Fusion of vector and BM25 rankings,8.14830756187439,0.6136243584366897,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
cross_encoder_fusion,Fusion of vector and cross-encoder rankings,17.73515558242798,0.2819259169597592,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
multi_stage,Multi-stage reranking pipeline,21.197665691375732,0.23587502854308384,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
keyword_fusion,Keyword and semantic fusion,23.564162731170654,0.2121866181727732,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
