technique,description,processing_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
original,Original query without modification,12.51423978805542,0.3995448452867585,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
simple_expansion,Expand with synonyms,41.659353733062744,0.12002106494589651,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
llm_expansion,Multiple queries from LLM,52.873759746551514,0.09456486589883757,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
hyde,Hypothetical Document Embeddings,31.120952129364014,0.160663464897087,1.0,0.8666666666666666,0.8800000000000001,0.2033333333333333,0.3416666666666666,1.0
enhanced_hyde,Enhanced Hypothetical Document Embeddings,21.776632070541382,0.22960391596842994,0.8,0.8666666666666668,0.9199999999999999,0.195,0.3583333333333333,0.9
