reranking_method,description,reranking_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
no_reranking,Base retrieval without reranking,12.298849821090698,0.40654208098595884,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
cross_encoder,Cross-encoder reranking,27.406757354736328,0.18243675949267013,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
llm_reranking,LLM-based reranking,10.633158445358276,0.4702271696311141,0.8,0.8,0.8,0.17833333333333332,0.30333333333333334,0.9
hybrid_fusion,Fusion of vector and BM25 rankings,6.916088342666626,0.7229520145302478,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
cross_encoder_fusion,Fusion of vector and cross-encoder rankings,15.159404516220093,0.3298282590619015,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
multi_stage,Multi-stage reranking pipeline,13.36454701423645,0.37412416557581785,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
keyword_fusion,Keyword and semantic fusion,15.4789879322052,0.3230185346677042,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
