,processing_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,31.988987493515015,0.2008796313994019,0.96,0.8666666666666666,0.8640000000000001,0.20166666666666666,0.32999999999999996,0.9800000000000001
std,15.92169260896943,0.12222032248506126,0.08944271909999157,1.1102230246251565e-16,0.035777087639996576,0.0037267799624996364,0.019184774055368878,0.04472135954999579
min,12.51423978805542,0.09456486589883757,0.8,0.8666666666666666,0.8400000000000001,0.195,0.31666666666666665,0.9
25%,21.776632070541382,0.12002106494589651,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
50%,31.120952129364014,0.160663464897087,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
75%,41.659353733062744,0.22960391596842994,1.0,0.8666666666666666,0.8800000000000001,0.2033333333333333,0.3416666666666666,1.0
max,52.873759746551514,0.3995448452867585,1.0,0.8666666666666668,0.9199999999999999,0.2033333333333333,0.3583333333333333,1.0
