,reranking_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
mean,14.146625416619438,0.48658689465977967,0.9428571428571428,0.7238095238095237,0.6628571428571429,0.17095238095238094,0.2542857142857143,0.9428571428571428
std,7.390139548314699,0.32188623571848735,0.0975900072948533,0.3137079827047734,0.34630017257259565,0.07276202422494972,0.1315782302960132,0.0975900072948533
min,4.603441476821899,0.2121866181727732,0.8,0.26666666666666666,0.16,0.06499999999999999,0.06499999999999999,0.8
25%,7.806305885314941,0.25890047275142153,0.9,0.5666666666666667,0.5,0.13416666666666666,0.19083333333333333,0.9
50%,16.313340663909912,0.3064976146217265,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
75%,19.466410636901855,0.6417395790244173,1.0,0.9333333333333332,0.8400000000000001,0.22000000000000003,0.31666666666666665,1.0
max,23.564162731170654,1.0861439262722798,1.0,0.9333333333333332,0.96,0.22000000000000003,0.3833333333333333,1.0
