,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,19.89164666334788,0.28048845393394833,0.1934252540137453,0.1934252540137453,0.8118233483846223,0.0,0.6933333333333334
std,7.124835859031461,0.09268393775865466,0.016162674517667962,0.016162674517667962,0.015167945977847003,0.0,0.019694638556693254
min,11.633695363998413,0.14937706940269344,0.17696298999298782,0.17696298999298782,0.7914278243255287,0.0,0.68
25%,15.134385585784912,0.2092847340013942,0.17696298999298782,0.17696298999298782,0.7914278243255287,0.0,0.68
50%,17.105231285095215,0.2923206776534254,0.18916881368664556,0.18916881368664556,0.8199334075142886,0.0,0.68
75%,24.121092438697815,0.33237066056648257,0.21414395836160244,0.21414395836160244,0.8241088133140495,0.0,0.7200000000000001
max,33.47233963012695,0.42978605194296043,0.21414395836160244,0.21414395836160244,0.8241088133140495,0.0,0.7200000000000001
