,generation_time_sec,queries_per_second,metric_answer_precision,metric_answer_recall,metric_faithfulness,metric_citation_rate,metric_answer_correctness
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,14.559559444586435,0.36988990234125363,0.177305387871301,0.177305387871301,0.8118233483846223,0.0,0.6933333333333334
std,4.631690300626627,0.09851322287353942,0.007765544031831554,0.007765544031831554,0.015167945977847003,0.0,0.019694638556693254
min,9.292263984680176,0.1842482308158494,0.16790642526954286,0.16790642526954286,0.7914278243255287,0.0,0.68
25%,11.923183798789978,0.3212263617937553,0.16790642526954286,0.16790642526954286,0.7914278243255287,0.0,0.68
50%,14.373085975646973,0.347904579021195,0.17792293600151862,0.17792293600151862,0.8199334075142886,0.0,0.68
75%,15.569911062717438,0.4229829007674334,0.18608680234284156,0.18608680234284156,0.8241088133140495,0.0,0.7200000000000001
max,27.13730263710022,0.5380820011402304,0.18608680234284156,0.18608680234284156,0.8241088133140495,0.0,0.7200000000000001
