,processing_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,23.309905004501342,0.39065869504362066,0.96,0.8666666666666666,0.8240000000000001,0.2033333333333333,0.31066666666666665,0.9800000000000001
std,20.709414709599184,0.27127722280949956,0.08944271909999157,0.0,0.021908902300206663,0.0,0.008299933065325832,0.04472135954999579
min,7.1165077686309814,0.09125124105420292,0.8,0.8666666666666666,0.8,0.2033333333333333,0.29999999999999993,0.9
25%,8.204501390457153,0.14692489188334257,1.0,0.8666666666666666,0.8,0.2033333333333333,0.30333333333333334,1.0
50%,12.403747320175171,0.4031039871206751,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
75%,34.03099322319031,0.6094215555640732,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
max,54.7937753200531,0.7025917995958095,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
