,num_chunks,embedding_time_sec,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
count,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
mean,29.363636363636363,1.3102268594684023,0.9939393939393939,0.9595959595959596,0.9357575757575757,0.3688968788657787,0.46615539626430963,0.996969696969697
std,25.37939393215756,1.3346635520949797,0.03481553119113957,0.05758904684484993,0.07479264264578027,0.37676113069303757,0.41905167822051625,0.017407765595569787
min,2.0,0.0,0.8,0.7999999999999999,0.76,0.0467205562121311,0.07255037908174486,0.9
25%,4.0,0.0,1.0,0.9333333333333332,0.8800000000000001,0.06239086543708393,0.10112508059316569,1.0
50%,18.0,1.2436954975128174,1.0,1.0,0.96,0.20203619909502266,0.28800904977375563,1.0
75%,50.0,1.699554443359375,1.0,1.0,1.0,0.75,1.0,1.0
max,75.0,4.3378379344940186,1.0,1.0,1.0,1.0,1.0,1.0
