retrieval_method,retrieval_type,query_expansion,retrieval_time_sec,queries_per_second,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr,alpha
vector,vector,none,6.200621843338013,0.8063707360854511,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,
bm25,bm25,none,0.028412818908691406,175.97690732722452,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,
hybrid_0.3,hybrid,none,9.702078104019165,0.5153535094639888,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.3
hybrid_0.5,hybrid,none,7.557493686676025,0.661594995284624,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
hybrid_0.7,hybrid,none,5.24751877784729,0.9528312735359413,1.0,0.9333333333333332,0.8800000000000001,0.22000000000000003,0.3416666666666666,1.0,0.7
vector_expanded,vector,simple,17.081406116485596,0.2927159489039022,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0,
bm25_expanded,bm25,simple,0.08197402954101562,60.994927637395875,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0,
hybrid_expanded,hybrid,simple,20.737651109695435,0.24110734497130967,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0,0.5
